ID,CID,Gender,AgeR,AgeG,AgeGroup,MHVS,SEND,SFQuestion_1_Text,SFQuestion_2_Text,SFQuestion_3_Text,SFQuestion_4_Text,SFQuestion_5_Text,SFQuestion_6_Text,SS_Brian_Text,SS_Peabody_Text,SS_Prisoner_Text,SS_Simon_Text,SS_Burglar_Text
2001001,21,1,9.67,1,2,11,0,I think the men hide because they are scared of that lady or~~ they are not suppose the be there~~,I think the woman thinks that there are buglers in her house maybe,I THINK THE DRIVER LOCK HARLODIN THE VAN BECAUSE HE DOES NOTICE THAT HE IS THERE,THE DELIVER MAN WAS FEELING SCARED BECAUSE I THINK HE THINKS THAT THE DELIVERY MAN CAME TO LIVE,I think Harold picks up the hat because he is frustrated with that lady,I think Harold fans Mildred because he was going to be angry with him if he saw Harold talking to her,HE IS A Very GRRRRREEEEEEDDDDY boy and LIKE SO MUCH sousagggggggggggggeeeeeeeesssssssssssss,she said it because she thought that he was going to rob her,HE SAID THAT BECAUSE HE DOES NOT WANT THEM TO FIND OUT WHERE HIS ARMS TANK,BECAUSE HE KNOWS THAT SIMON IS NOT TELLING THE TRUTH,THE BURGLAR DID THAT BECAUSE HE KNEW HE WAS GOING TO BE ARRESTED
2001002,21,1,10.07,2,3,18,0,I think the men hide  because the woman is searching for them.,Where are those men?,I think he did not know Harold was there and he was just trying to drive away in his van.,he is feeling surprised as he thought it was just a manican that he was carrying but then it sneezes and he drops it in shock.~~,He thinks it is the lady's scarf.,To pretend she is asleep.~~,He wants more food.~~,She thought the man would rob her and she didn't want to get hurt.~~,He said that because they think he is lying to them.,he will look in the cupboard because he knows his brother always lies.,He did that because he thought the police was arresting him.
2001003,21,1,9.95,1,2,14,0,I think the men hide because the women is coming to tell the not to rent the cd or she came to say do the washing up.,I think she is thinking were are the men,I think the driver did not know Harold was in the van~~,I think the delivery man is feeling shocked because Harold sneezed and the delivery man got scared so he had a type of shock.,I think Harold picks up the cat because it is his scarf or he picked up a cat and not his scarf.,I think Harold fans Mildred because Mildred is pretending she has fainted or its very stuffy in the room,Brian says this because he wants more sausages~~,Mrs Peabody said this because she was scared,The Prisoner said this because he wanted to trick them to say that he was lying,Because Simon lies so he goes to the opest place,H did this because he thought the police man was going to arrest him
2001004,21,0,9.22,1,2,13,0,because they did a trade money for a cd,what is Harold hiding,because they want more money,he is aLive,because he thinks it is a offit,so he dosen 't now that they are in love,because he is greedy,because she is nervous,because he is tricking him,because he lies,because the police man doesn't know he is bad
2001005,21,0,9.3,1,2,16,0,Because they are hiding something and they are scared,where are they Were are they gone,Because he dosent know that Harold is there.,Nervous because the statue is moving and he dosnt know whats happening.,Because he thinks it is a scarf.,Beacause Mildred is is pretending to be suffering.,Because he wants more sausages and he is greedy,Because she does not want to be kidnapped.,Because they will look by the sea and be fooled.,Because he knows Simon is a big liar.,Because he doesn't want to be shooted by the poleice man
2001006,21,0,9.6,1,2,17,0,they do not want anyone to see what they are doing,there is no one at the house when she comes in,he does not know he is there so he shuts the door anyway,he is feeling surprised when he sees the person hiding there,he thinks it is a furry scarf,he is pretending she is asleep so he fans her to keep her asleep,he just wants more sausages so he lied,she thinks the man is a really bad thief,he knows the enemies will go to the opposite of what he is saying,because Simon is a big liar,he thinks the police is trying to arrest him.
2001007,21,1,9.91,1,2,17,0,They were scared of the woman.,'I am angry!',The driver didn't know that Harold was IN the van.,I think that the delivery man felt that there was nothing 'fishy' going on and that he was just delivering a normal parcel.,He thought it was a fluffy scarf.,He wanted her to play dead.~~,Brian said this because he is extremely greedy.~~,"She was afraid the man was going to attack and hurt her so then she tried to keep herself safe because is someone is going to attack you, they probably want your valuables.","He was using a method called 'reverse psychology'. Basically, the Red army would think the prisoner is lying, so they would go the opposite. However, the prisoner knows this so he tells them the oppos",Jim would look in the cupboard because he knows that Simon is probably lying.,"He knew that he was going to be arrested either way, so he just decided to give up and admit he did it instead of being part of a lie detector test."
2001008,21,0,10.06,2,3,9,0,I think the men hide because the lady is telling them off because they have done something wrong.,I think that the women is thinking where have the men gone.,I think the driver locked haroled in the van because he was being nauty.,I think the dilery man feals shoct.,I THINK HAROLED PICKED UP THE CAT TO GET REVENGE ON THE WOMEN.,I THINK HAROLED FANS MILLDRED SO THAT THE OTHER MAN WOULD THINK SHE IS SICK.,BREIN SAYS THIS BECAUSE HE IS A GREEDY BOY.,SHE SIAD THAT BECAUSE SHE WAS AFRAID OF THIS MAN.,THE PRESIONER SIAD THAT BECAUSE HE WANTED TO TRICK THEM.,JIM LOOKS IN THE COPBOARD BECAUSE HE NOSE THAT SIMON IS LIEING.,HE DID IT BECAUSE HE THOUGH THE POLICE MAN HAD CAUGHT HIM.
2001009,21,0,9.41,1,2,12,0,The men hid because they where hiding from the woman.,"I think the woman is thinking ""were are these men""",I think the drive locks Harold in the van because the other man told him to.,I think the delivery man was feeling scared because he droped Haroled and ran of.,I think Harold picks up the cat because he thinks its a scarf,I think Harold fans Mildred because he wants it to look like shes fainted.,I think Brien says this because he wants more saugase than any one eals.,I think she said it because she was afrade that the man was going to steal her pures.,He said it because he was trying to trick them by using revers sicoligy.,He looked in the coberd because Simon always lies.~~,The begular does it because he thinks the pplice man is going to arrest him .
2001010,21,1,9.13,1,2,-99,0,Because of the lady in white,the women is thinking where are they,Because he doesn't know that hes there,the delivery man is feeling scared,Harold picks up the cat to scare the lady,Harold fans mildred to wake her up,to get the sausages,because shes nervouse,to lie to them,because simon lied,he thought that he was being arrested
2001011,21,0,9.13,1,2,13,0,they might have done a bad thing,where have they gone,because he might have not seen him,scared because there was someone in the clothes,he picks up the cat because he is trying to be polite,he fans Mildred because he might be pretending to be a docter,he says that because he is being greedy,she says that because she does not want to be attacked,he said that because they will go to the sea,because he knows that Simon is a liar,he did that because he did not want to be chased
2001012,21,0,10.07,2,3,-99,-99, because they are scared of her~~~~~~~~~~~~~~~~~~,I don't know,I think he lockes Harold in the van because a man tells him to,I think the delivery man is scared because he thinks the man is a manakin,I think that Harold pikes up the cat because he thinks it is the scart,I think that he fans Mildred because he is pretending that she is sick,He says this because he is really greedy,She says that because she thinks he will rob her,He says that so they think he is lieing so they will go to the sea,because he knows that his brother lies to him and never tells the truth,because he thinks that he knows that he is a burgular
2001013,21,0,9.54,1,2,15,-99,I think because the men did not want the lady who walked in to see them with the thing,she was thinking where have they gone.,because he did not know he was in the back of his van.,I think that he was feeling fine until Harold sneezed on him and realised that he was alive.,I think that he pick up the cat because he did not know that he was holding the cat instead of the scarf.,To make the man think that she fanted.,because he ants more sausages than anybody else.,because she did not want to get robed.~~,because the reds will think that he is lying to get them to go to the sea.,because he knows that Simon will be lying to him.,because he though that he was going to take him to prison.
2001014,21,0,9.98,1,2,11,-99,because they war not suppose to be here,what does this noise come frome,Because they did not have to be seen,squered because his delivery moved,because he new that it was the womens,because he was trying to make him feel scared,because he wants more sausage then any body,because she is scared,because the green army will think he lie,because he never tells the truth,because he dosent want to go to prison
2001015,21,0,10.04,2,3,10,-99,because they are scard of the lady,don't now,the driver does not now he is in the van,at first the delivery man is feeling wayed down bye the delivery after he is scard,to tern it in to fer or a ~~coat,because he was trying to not make it look suspisous,he is greedy,because she is crasy,because they don't believe him~~,siman would not give up that easy,he thought that's why the poleic  man stoped him
2001016,21,0,9.41,1,2,12,-99,I think they hid because they did not want the women to see them.,I think she is thinking where are those men.,I think the driver locks Harold in the van because the other person tells the driver to lock Harold up in the van.,I think he was scared and shocked because he would not expect Harold the manicon to be alive because he did not know Harold had disguised himself.,I think he picks up the cat because he thought it would be funny.,I think he fans Mildred to pretend she passed out and you are supposed to fan people when they pass out.,Brian says this because he is greedy like it says in the text.,She said that because she thought the man would attack her because she is scared someone might attack when she is walking home.,the prisoner says that because he is smart and lies to the other team about where it is.,he will look in the cupboard because he knows his brother is lying to him.,The Burgular did that because he wanted to be truthful and he also did not know that the policeman was just going to he dropped his golve
2001017,21,1,9.94,1,2,12,-99,The men hide because their mother came to the room,The was thinking where the men gone,Because the driver didn't see Harold,The delievery man was feeling horrified when he saw the manecen was aman,Harold picks up the cat because he thought it was a scarf,Because his boss was there,He say this because he wants more when he gets home,Because she thought he was a robber,Because he was a betrayer,Because Simon is a big liar,Because the policeman already knew he was the burglar
2001018,21,0,9.97,1,2,17,-99,I think the men hide because they are not allowed to be in that room and then somebody comes,I think the woman is thinking that there are intruders in the room,I think the driver locks Harold in the van because the driver doesn't know he is there,I think the delivery man was feeling frightend because he thinks the manacin comes to life,I think Harold picks up the cat because he knows there is something in the ladys scarf,I think Harold fans Mildred to pretend she has fainted,Brian says this because he is a very greedy boy and he knows that he is only allowed 2 sausages so he lies to have more sauseges than the other people,Mrs Peabody said that because she thought the man was going to take her purse or hurt her,the prisoner said that because when the red army come the blue army will   attack the red army,Jim will look in the cupboard because he knows that Simon is lying,the burglar did that because he thought the policemen had found out he had robbed the shop
2001019,21,1,9.58,1,2,19,-99,the woman was an assasnater.,kill them ! kill them all.,to ask him where his secret carrot patch is.,he is felling scared bescause his delivery is alive,to scare the lady â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦,because she is 'to hot',He is â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€,she is dfhio worred,to trick the enemy into thinking he is liying so they will go to the sea when they actually in the mountains,because simon always lies,he is STUPID
2001021,21,1,10.04,2,3,11,-99,I think that the men hid because they didn't want to know,where are  the men are,he doesn't know that Harold is there,he feels confused and mad,he thinks it is the laidies scarf,cause her father comes in,he is greedy,she is nervious,they will go to the sae,he is a liar,he is a robber
2001022,21,0,9.64,1,2,15,-99,Because they were telling each other a secret,where are them rascals?,Because he didn't pay attention so he didn't realise that he was there~~,the delivery man is shocked because he thought Harold was a model and he wasn't alive. when he sneezed he was shocked.,Harold picks up the cat because he thought the cat was the woman's scarf,Harold fans Mildred because he wanted the man to think she was ill and needed some sleep~~,Brian says this because it is his favourite dinner today. He wants as much as possible.,She said that because she is very anxious and even though he just wanted to know what the time is she is still worried,Because the red army will think he is lying so they will check by the sea,"because normally Simon lies. The paddle will be under the bed, but Jim will think Simon is lying so he will look in the cupboard",he did that because he though the police officer was telling  him to stop because he robbed a shop. so the robber thought there was no point of trying to run because the police officer had a car which
2001023,21,0,9.86,1,2,18,-99,the men hid because they were scared of their estate agent,were are the men I need them to pay me rent,the driver locks Harold in the van because he dis not know he was in the van because he was hidden,he is shocked because Harold was   so still and he just took him into the shop,Harold picks up the cat because the womens scarf  was next to it,because mildred pretends to faint,because he really wants lots more sausages than any one else,I don't know,because the red army thinks that he will  to them lie to them so he told the truth,simon lies all the time so if hsays under the bed it will be in the cubord,I don't know
2001024,21,1,9.28,1,2,17,-99,Because the nanny was looking for people who were snooping  around.,where are these two men?,He thought it was just clothes inside,Petrified because he realised he was alive!,He picks up the cat because he thought it was a piece of cloth but it was a cat.So the lady was wearing a cat.,bECAUSE WHEN THE man comes Harold wants to pretend that he was doing his job.So he pretends mildred is dead,Because he wants more sausages and he is a greedy boy but when he gets home he will be full,because she is scared of being attacked so she thought the man was going to rob her,Because he knew they thought he was going to lie so they thought the tanks were at the seaside,because he knows Simon is lying so he looks for the paddle in the cubourd,the burglar thought the police man knew he had done the break-in.
2001025,21,1,9.88,1,2,-99,-99,I think they hide because Malin might be cross,she might be thinking what are they doing,I think that because he is not atentive,he must have felt scared because he jumped and ran away,he picked up the cat because she might be scared of them,to pretend she is sleeping,he said that because he is very greedy,she said that because she is scared that he will attack,he said that because they think he is lying,he will look in the cupboard  because he always lies,he did that because he thought he had seen him
2001026,21,1,9.11,1,2,13,-99,they were scared,she is thinking were are the men,he wants Harold to go with him,he is scared because he thought that Harold was not a real person and Harold was alive,he thinks that the cat is the scarf,I do not know,because he wants more sausages than everyone else,she is scared he will attack her,because mountains are hard to climb,because Simon is a liar,he did not know that the policeman was just trying to give him his glove back
2001027,21,0,9.52,1,2,11,-99,Because they were scared,Were are they,Because he wants to see what he knows about something,Scared because it would be very scary if someone that you were caring just sneesed that I would jump . So I think scared.,Because he wanted to give the woman a nice scarf .,Because he loves her,Because he is very greedy,Because she was afrayed that she would get robed,Because he wanted to protect his army,because he knows Simon will lie,because he wanted his gluve back
2001028,21,1,9.56,1,2,-99,-99,because they do not like her,they have done somthing,it was an axedent,scared because it was a real man,because he thinks it is the scarf,because she is hot,so he can get more sausages,she was scared,his army will shoot at them,because he lies,he
2001029,21,0,10.04,2,3,-99,-99,I think the men hid because they did not want the woman to see them.,where are they,I think the driver locks Harold in the van because I don't think he know that he is in the van.,I think the delivery man was scared because he did not know that it was a real human,I think Harold picks up the cat because it looked like the woman scarf.,I think Harold fans Mildred because someone was coming inside the room.,I think he said this because he want more food.,I think Mrs Peabody say that because she thought he was a robber,so they might say no or yes and if they say no it might be the other one.,because he is a liar so he said the different one.,because he thought the policeman found out that he was a burglar.
2001030,21,1,9.31,1,2,13,-99,I think they hide because the woman is coming to tell the men to not take the cd,the woman is thinking to beat the men up,the driver locks Harold because he does not like him~~,He is scared because  he thinks that Harold is an alien or something.,He picks up the cat because he thinks it is a scarf because it is white like a scarf,Harold fans Mildred to pretend to be sick so he fans her and the Manger thinks that she has a fever.,He says that because he is greedy,Mrs Peabody said that because she is worried that somebody might,the prisoner said that because he thought that they would not believe,because he does not believe him,because the policeman says stop and he stopped
2002001,22,1,9.58,1,2,13,-99,they are hiding something~~,what was this noise,on accident~~,because he is scared and saw Harold move,it is dead,pretending that she is dying,because he is fat and wants to be fatter,she is a scardey cat,phsico therapy,his bro is a liar,because he thought that the polece had caught him
2002002,22,1,9.88,1,2,-99,-99,because were not supposed to be there,who is there ?,because he was going to deliver the thing in the  truck but he did not notice Harold,frightened because he thought Harold was a doll but he was surprised that it moved,he wanted to have a cat,so he has an excuse to do something,so then he gets more sausages because he is a very greedy boy and he lies so  he can get sausages,she is scared that he is going to hurt her because she is a scaredy cat,because he does not want to betray his army,because he knows that he is lying so he looks in the opposite place,because he thought the policeman knew so he gave up because he did not want to fight
2002003,22,0,9.88,1,2,14,-99,because they were not supposed to be there,is there someone there in the room,because he didn't know that Harold was in there,he is feeling worried because the thing he was carrying was moving and sneesed,because he doesn't want it to leave cat hair on the floor,because he pretends that Mildred is sick and he doesn't want the man to know what he is doing,because he is greedy,because she thought he was a robber and he was going to take her purse,because they would think he will trick them and so he would say the right answer to double trick them,because Jim knows that Simon is a liar so he would look in the cupboard,because he thought the police man wanted to take him to jail but really the police man just told him that he dropped his glove
2002004,22,1,9.95,1,2,12,-99,because they are keeping a secret,were are they,he doesn't know he is in there,shocked because he doesn't know she was a real person,he thought it was a scarth,because there making her dry up tto look like a stachu,its al he cares about,she though he was thief,he wanted his country to win the the war,because he knows he is lying,he knew if he didn't give up hey were probly going to kill him.
2002005,22,0,9.2,1,2,8,-99,because the wont let them in,the woman is thinking about there secret,because he thought he wasn't in there,the delivery man felt scared because he thought it was a animal,because he thought it was the scarf because of its colour.,because he wants her alive.,because he is so greedy,because she is afraid of speaking,because he does not want to show them where it is.,because he is liar.,because he thought he would get him.
2002006,22,0,10.05,2,3,12,-99,because they did not want the woman to see them,where are they,he did not know Harold was in there,scared and frightened because he did not know Harold was there,because he thought it was like a scarf she had dropped,because the other man is married to mildred and they are in love,because it is his favourite meal and he is really greedy,because she thinks he is going to rob her or attack her,because he is clever and he is using reverse cicoligy,because simon never tells the truth,because he wanted his glove back so they could not get his dna
2002007,22,0,10.03,2,3,9,1,beaces they cheated on the women,where are they,to take him and do things to him,he thought the women was crazy,because he thought it was the scarf and he was going to give the scarf to the women,beaces the men is marrid to mildred and dose not want the man to know what they were doing,because he is greedy,because she did not want the man to hurt her,becauses he thinks if he says go to the moutian they will go to the see,beacause he always liars so he will be liaring when he says it under the bed,beacause he thought the police men sae him or he dose not want to have to go to prision even longer bease if he gets caught his sentence will be longer
2002008,22,0,9.58,1,2,5,1,so the person deos not know they are in there,were are they gon,so he deos not exape,soced because status can not seeze and it did,to keep his neck warm,to keep her cold,so he gets more sosoges,so she does not take her,don't know,to get the paddle,he thout he was getting chased
2002009,22,1,9.19,1,2,17,-99,Because they may have been in a restricted room.,"The women may be thinking, 'Where are those men?'",Because maybe Harold was being annoying and it was restricted to go in the van.,The delivery man could be feeling foolish for picking up an actual lady and trying to deliver her somewhere.,Because when the woman drops her scarf (I think it's a scarf anyway) the cat's tail looked like the scarf.,Because maybe Harold was supposed to be fanning her.,Because Brian is greedy and he doesn't want to have the lovely meals his mum cooks because maybe he is angry at her for something.,Because she is a very nervous person and she thinks the man is a robber.,Because the Red army thought he will lie to them and the Red army will probably go to the sea.,Because he knows Simon is a liar and if he tells him the table tennis paddle is under his bed then the truth is the paddle is in his cupboard.,"Because he doesn't know the policeman only wanted to give him his glove back,  he thinks he  has caught him."
2002010,22,0,9.46,1,2,19,-99,because they were scared of the woman and they weren't allowed to be in there,she is thinking where is everybody and she was trying to find them,because he was old and couldn't hear and did not realize that  the man was still in the van,he is feeling scared because he did not know that he was carrying a real person he thought it was a manakin,Harold thought that it was one of the scarfs he was selling so he sold it to a woman~~,because he was pretending to be doing what he was supposed to be doing so it looked like he was doing his job,because he is very greedy and even though he is having dinner he wants more than he should have,she said it because she is scared of robbers so she thinks he wants to rob her~~,because he knows that the person who asked the question thinks he is saying the opposite answer so he says the real one,because he knows Simon is a liar so it is probably in the cupboard,because he thought the poiliceman knew he was a burgular and he did not want to go to prison
2002011,22,1,9.79,1,2,9,0,because they don't want the woman to find them,she was thinking were has the men gone and why have they gone,I think the driver locks Harold in the van because the man done it on accident,I think the delivery man is feeling stressed because he picked up someone not a dummy.,because the woman drops it.,because she's hot.,because Brian is greedy,because she thinks he is a robber,don't know,because simon never tells the truth,because the burgular thought the police man was going to arrest him.
2002012,22,1,9.27,1,2,16,0,The men didn't want the women to see them.~~,The women is thinking that the men are not in the room.,Harold sits in the van and the driver doesn't know so the closes the van doors.,I think the delivery man is feeling shocked as he may have thought that that the woman was a statue.,I think Harold picks up the cat as he wants to sell it to somebody else., He might he fanning Mildred as it could be very hot in the room.,"Brian says this as he is very greedy, he wanted the most sausages.",she said that  because she was scared.,The red army will think he is lying so they  will not go to the mountains.,Jim will do so as he knows his brother is a liar so he will not what he says.,The robber did that as he thought he had been caught by the police.
2002013,22,0,10.06,2,3,13,0,Because they were in trouble,were are those men there not in here,HE does not know that Harold was in the van,He is feeling shocked because he did not know that it was a real person,Because the cat looks just like the white scarf,because Harold did not want the other man to find out they were not working as they should be, ,because she is a nerves person,because the red army think he is lying so they will not go to the mountains even though they are in the mountains,because simons brother knows that he is a lier,because the burglar thought the police man knew he was a burglar
2002014,22,0,9.13,1,2,12,0,BECAUSE THEY WERE FRIGHTEND OF THE WOMEN,WHERE ARE THOSE MEN ARE THEY HIDING THERE NOT IN HERE?,BECAUSE HE DIDNT KNOW THAT HAROLD WAS IN THE VAN AND HE HAD TO DRIVE OF SOMWHERE,HE IS FEELING SHOCKED BECAUSE HE DIDNT KNOW THAT THE STATUE WAS ACTUALLY A PERSON AND HE WAS SCARED,BECAUSE HE THOUGHT IT WAS HIS SCARF,BECAUSE WHEN THAT WAS IN THE ROOM HAROLD PRETENDED THAT MILDRED WAS ASLEEP,BECAUSE HE LOVE SAUSAGES SO HE WILL LIE TO GET MORE SAUGES,BECAUSE SHE THOUGHT THAT THE MAN WAS A ROBBER,SO THAT THEY WONT FIND HIS TANKS,BECAUSE SIOMON IS A LIAR AND SIOMON TELLS JIM ITS UNDER HIS BED SO JIM LOOKSIN THE CUBOARD BECAUSE SIOMON IS A LIAR,BECAUSE HE THOUGHT THAT THE POLICMAN WAS TELLING HIM TO BE SENT TO JAIL
2002015,22,0,9.8,1,2,16,0,Because they werte scared of the lady maybe,where are they,He did not know he was there,he is shocked and angry because he was carrying a person,Because it is white like the scarf so he dose not relise,To pretend she is sleeping or unconcious,He is greedy,because she was scared,he knew they would think he was lying,because his brother is a liar,he thought he knew he did it
2002016,22,1,9.83,1,2,12,0,Because they don't want the lady to see them arguing,Why is there so much noise coming from that room~~,He didn't know that Harold was in the van so he closed the door without realising,I think he is feeling frightened because he thought the manakin was alive,Because he saw a white tail but it looked like a scarf,Because he tries to make it look like Mildred was sleeping and nothing suspicious was going on,Because he is greedy for more sausages as he LOVES sausages,Because she thinks the person is a robber~~,Because he had warned his army and would be prepared when the opposing army came,Because he knows Simon always lies~~,Because he thought that he was going to get shot by the police
2002017,22,1,9.46,1,2,17,-99,Because they didn't want the lady to see them or know they were there,That someone is inside the room and why is there so much noise,Because the driver probably didn't know that he was inside the van,I think he is feeling afraid because Harold sneezes when the delivery man thinks he is a statue,Because Harold probably thought that the cat was a scarf,I think Harold fans Mildred because he probably trying to pretend that Mildred is dead,So that he can get more sausages than anyone else in his school,Because she is afraid that the man will rob her,Because he is very clever so he has probably warned his army that the red army will attack their tanks,Because he knows that Simon is a big liar,Because he probably thought that the policeman would think that he is an ordinary man
2002018,22,1,9.14,1,2,11,0,they were maybe burglars,I dunno,because he did not see him,he is feeling exsausted because the lady is heavy,because he wanted to help the lady,to make her cooler,because he is greedy,she did not want to get hurt,he wanted to lie to not put his army in danger,because he knows that Simon is a liar,he wanted the policeman think he is a normal person
2002019,22,0,9.88,1,2,14,0,BECAUSE THEY were scarde of the woman,she is thinking that the men hiding from her,because he dose not know he is there,he is felling scared because he thought it was just a manikin,because he thinks it is a fluffy scarf,because he making her look sick,because he is greedy and wants more sausages,because she was panicking,because they will think he is lieing and think the tanks are realy by the sea,because jim knows simon is lieing,because he thinks the police is going to arrest him anyway
2002020,22,1,9.55,1,2,17,-99,they do not like the woman or they are scared of her,I think the  is angry with them,I do not think the man does it on purpous because he did not see him,I think Harold is confused and shocked,Harold picks up the cat because he made a mistake by picking the cat up instead of the scarf,to make her look DEAD and so people panick,so he gets more sausages and he is greedy,she doesn't want to get hurt,to make the think his tanks are by the sea,he thinks he is lying,he thought the policeman had caught him red handed
2002021,22,1,9.13,1,2,15,-99,I don't know,is she thinking that she heard a noise and she went to check what it was,I think the driver didnt know he was in there~~,he is feeling confused because he thought the thing he brang in was not real,he was selling it,Harold pretends she Mildred is dead,Because he likes sausages and he is greedy~~,she thought he was going to rob her,they would think hes lying so they will go to the sea~~,because he knows he is a liar so he checks in the cupboard,he thought the policeman knew he robbed the shop~~
2002022,22,0,9.4,1,2,12,-99,I don't know,I don't know,because the driver doesn't know that Harold is in the van,he is feeling shocked because he just heard a bear then was moving,Harold picked it up beacouse he thought it was a scarf,beacouse she was hot,he said this because today was his favourite meal and he is a greedy boy,she said it because she thought that at night someone would rob her so she didn't want to be attacked,the prisoner said that because the red team would think that it is by the sea because they would think he would lie and tell them the wrong place,he looks in the cupboard because he knew that Simon wouldn't tell him the truth because he never tells the truth,the burglar did that because he thought that the policeman was arresting him because he thought the policeman knew he had commit the crime~~
2002024,22,0,9.48,1,2,11,-99,I think the men hide because the maid who came in wanted them to eat something which they don't want to say is bad but deep down they think its horrible,the women thinks there silly and she is mad,I think the man dousnt know that Harold is there and he is old so he didn't see him,I think the delivery man feels shocked and scared,I think Harold picks up the cat because it looks like the womens scarf as it is white and fluffy and he was super super super busy,I think they were going to kiss but harolds boss came in and it was secret so he pushed her to the chair AND pretended she was ill by fanning her with a book,brian says this because he wants 4 sausages even though he will have a nice dinner he lies to the dinner lady,because she was so afraid she didn't think and she handed the man her bag when he  wasn't going to attack,I think that when he sais that the other team will think hes lying and the go the opposite way so he can escape,because simon is lying and says its under the bed so its in the coubered he is a liar,because he thought the police man wanted to arrest him
2002025,22,0,9.54,1,2,12,-99,Because he did not want the lady to see them,that the 2 men have gone to work and have left the house,because he dose not know he is in there,I think he is angry because he did not like them running there,Because Harold thinks it is a scarf,Harold fans Mildred because he dose not want the man to see what they were ~~talking about,Because he is hungry and loves sausages so he asked for me,She says that because she thinks he is a robber,Because that would make them think he is lying and go to the sea,because he might be lying, 
2002026,22,0,9.54,1,2,10,-99,because they did not live there and did not want to let the maid see,the woman is thinking that no one is in the room.,because he is not suppose to be in the van,I think the delivery man feel surprise because he did not Harold was there,I think Harold picked up the cat because he wanted to scare the woman.,because they are pretending to be other people and do not want the man to know.,he says this because he is persuading the dinner lady for him to have more ~~sausages than everybody else,because he thought the man is a robber and wants to steal her purse,because he thought that the people thought he was lying~~,because he knew simon was lying and never tell the truth.,because then the policeman will put him in prison.
2002027,22,0,9.28,1,2,15,-99,because they don't want the woman to see them.,The woman thinks there is knowone in the room,I think he might be deaf.,he got startled and surprised because he thought it was a statue.,he thought it was the womans scarf.,to make the other man think she is asleep.,because bans and sausages are his favorite meal.,she thinks he is a robber., ,Simon always tells lies., 
